"","EM","P","PCOM","FF","NBRX","M2"
"158",1123.727736,343.2049862,29.25046791,6.58,0.904630848,11.49644607
"159",1124.028963,343.9135216,29.63343727,7.09,0.892217692,10.57326954
"160",1124.258548,344.6807881,31.70096875,7.12,0.897734744,10.44444544
"161",1124.525515,345.1573565,28.00774731,7.84,0.889515355,10.63717632
"162",1124.81523,345.7262591,31.36575589,8.49,0.889943867,10.56938779
"163",1124.841289,346.0723366,32.76147828,10.4,0.886920179,9.665887185
"164",1125.179444,347.2276935,36.71590092,10.5,0.87264825,8.728550143
"165",1125.368831,347.6304859,35.49785907,10.78,0.890887362,7.535316644
"166",1125.805902,348.1855299,34.55281429,10.01,0.913731978,6.841154855
"167",1126.232078,348.9818536,34.19890444,10.03,0.917952645,6.688356424
"168",1126.436154,349.8021543,39.50405908,9.95,0.923741261,6.42400524
"169",1126.386136,350.7357596,38.66103073,9.65,0.939147602,5.910672263
"170",1126.673077,351.8980417,36.26365198,8.97,0.930394161,5.970641516
"171",1126.673077,353.0469699,36.14349688,9.35,0.923296947,6.505055313
"172",1126.780467,353.7475031,33.28875092,10.51,0.899583767,6.289299308
"173",1126.966849,354.6739709,29.67061185,11.31,0.889112093,5.61774379
"174",1127.001279,355.5062354,25.27379161,11.93,0.897506766,5.216704263
"175",1127.107044,356.2181849,22.9528816,12.92,0.893000114,5.225885869
"176",1127.057361,357.2626514,16.97929191,12.01,0.89655569,5.261042695
"177",1127.082843,358.2407184,15.53626543,11.34,0.904860512,5.639438537
"178",1127.17325,358.9611486,9.242242037,10.06,0.923453801,5.840369232
"179",1126.751074,359.7038296,3.028119811,9.45,0.93743196,5.68847682
"180",1125.887157,360.4682308,-10.23709768,8.53,0.966951567,5.299290727
"181",1125.344205,361.0917913,-15.317507,7.13,0.984773925,5.282092278
"182",1124.820443,361.6308782,-19.06777501,6.24,0.99449945,5.607894544
"183",1124.398664,361.9261424,-23.99037202,5.54,0.996043351,6.116270326
"184",1124.2402,362.300673,-23.39056757,5.49,0.994285061,6.880036018
"185",1124.450993,362.6738062,-19.51696993,5.22,0.996427131,8.051673949
"186",1124.358089,363.2838055,-22.92074187,5.55,0.98808919,9.263222189
"187",1124.669172,364.1263584,-24.02623716,6.1,0.984063067,10.11456193
"188",1125.130093,364.5449876,-19.55897064,6.14,0.988731597,10.62397419
"189",1125.399928,365.0398511,-13.85272398,6.24,0.97858024,11.03416712
"190",1125.802031,365.6097941,-9.744335142,5.82,0.989822028,11.06457384
"191",1125.956752,366.2021965,-6.652898851,5.22,0.996918595,11.38548677
"192",1126.337377,366.7655814,0.33112613,5.2,0.99337897,11.90856081
"193",1126.863488,367.0970057,4.013916759,4.87,0.996196639,12.46215799
"194",1127.220331,367.2495936,5.077232537,4.77,0.995956419,12.93413706
"195",1127.490936,367.3765855,6.805346325,4.84,0.997146853,12.66592777
"196",1127.88979,367.6047518,8.366080207,4.82,0.99751679,12.60725272
"197",1127.963056,368.1099232,8.90208509,5.29,0.993645485,12.31135131
"198",1128.046363,368.5624135,14.31008436,5.48,0.992978937,11.24013339
"199",1128.33236,369.0877502,19.39443966,5.31,0.992603385,10.80411737
"200",1128.453065,369.6599611,15.76289442,5.29,0.994460754,11.12074422
"201",1128.780496,370.2289164,12.38856898,5.25,0.996612805,11.36887343
"202",1128.780496,370.7946528,11.85284699,5.02,0.994800022,11.9987549
"203",1129.154286,371.2595958,12.00176735,4.95,0.996074155,12.25614437
"204",1129.399801,371.8195475,11.68643401,4.65,0.997117685,12.54051334
"205",1129.622362,372.3522394,11.59598811,4.61,0.996308561,12.65971979
"206",1129.965798,373.1220284,13.27059695,4.68,0.996065359,12.39079392
"207",1130.492911,373.6239993,15.93065384,4.69,0.994349362,12.39340375
"208",1130.970708,374.2420239,12.78975749,4.73,0.99604957,12.29848552
"209",1131.4194,374.7855666,10.75662831,5.35,0.988915792,12.01663137
"210",1131.911011,375.3730434,6.599095422,5.39,0.985761464,12.22347103
"211",1132.370013,375.9104895,2.631730832,5.42,0.982771496,12.15732126
"212",1132.628258,376.3290955,4.224954651,5.9,0.943918812,11.86195666
"213",1133.177522,376.6997233,3.336059909,6.14,0.966830922,11.50393959
